x y
713.3576052543038 304.8219602689144
618.0101257370458 497.50744376288355
1206.5170519286428 1095.1381321210588
590.1123466341304 496.44190969664646
692.5721653222223 292.48120584551185
1193.0403231547368 1089.8903337282868
1189.724293213625 1105.095224205766
606.7300547808853 503.39749910702415
1185.1182435450698 1098.3229189194421
707.6454806860673 313.0161416334153
597.9876491122914 509.32062265160636
1209.9740389014719 1083.9193723243989
703.7707344948091 300.55745989571557
601.6248042453475 496.60397515910125
1192.489463931473 1103.132655923361
592.5192903574073 482.7818097531398
1210.538967948771 1088.472324869145
712.1812594906272 302.4537132252722
689.4778709185447 305.5360074990451
707.4411827246538 306.3304699941686
1192.0998967386602 1113.1961762821747
1195.9249061634148 1114.0377954822227
606.2349819865728 503.0870575336861
702.4955349107886 304.3113349929409
691.4147653203648 301.4940094689151
1196.6247595983978 1092.8710288277766
701.7582742794383 314.27061239785627
598.3055259017668 498.17177015888143
597.0558323053186 494.4097062144539
603.49046051697 489.21499785740866
